City_ID,City,Max Temp,Description,Lat,Lng,Hotel Name
0,Longyearbyen,46.24,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
2,Port Alfred,58.39,clear sky,-33.5906,26.891,The Halyards Hotel
3,Chingola,59.86,broken clouds,-12.529,27.8838,Protea Hotel by Marriott Chingola
4,Limbe,76.1,light rain,4.0242,9.2149,The LK Hotel at Bonadikombo
6,Punta Arenas,39.11,overcast clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
7,Valparaiso,53.47,overcast clouds,-33.0393,-71.6273,Hotel Ultramar
8,Cape Town,58.26,scattered clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
9,Hermanus,56.89,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
10,Vila Franca Do Campo,73.81,few clouds,37.7167,-25.4333,Pestana Bahia Praia
12,Giyon,58.87,light rain,8.5333,37.9833,Negash Lodge
13,Nogent-Le-Rotrou,71.65,light rain,48.3333,1.0,La Glatine
14,Shieli,91.63,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
15,Bathsheba,83.7,few clouds,13.2167,-59.5167,Atlantis Hotel
16,Ponta Do Sol,82.71,clear sky,32.6667,-17.1,Hotel do Campo
17,Quelimane,67.95,light rain,-17.8786,36.8883,Hotel Flamingo
18,Vestmannaeyjar,52.79,broken clouds,63.4427,-20.2734,Glamping & Camping
19,Qaanaaq,40.95,broken clouds,77.484,-69.3632,Qaanaaq Hotel
20,Santa Rosa,80.91,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
21,Jamestown,81.18,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
22,Shahr-E Babak,79.41,clear sky,30.1165,55.1186,Duna Ecolodge
23,Touros,84.87,few clouds,-5.1989,-35.4608,INN NEW HORIZON
24,Mar Del Plata,51.82,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
25,Bonthe,76.35,light rain,7.5264,-12.505,Bonthe Holiday Village
26,Bredasdorp,50.02,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
28,Upernavik,39.11,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
29,Ushuaia,37.87,broken clouds,-54.8,-68.3,Albatros Hotel
30,Hithadhoo,82.72,broken clouds,-0.6,73.0833,Scoop Guest House
31,Chalinze,72.79,overcast clouds,-6.6378,38.354,Dolphin Guesthouse
32,Saint-Pierre,71.24,light rain,-21.3393,55.4781,Lindsey Hôtel
34,Axim,78.03,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
35,Praia Da Vitoria,78.76,few clouds,38.7333,-27.0667,Hotel Branco I
37,Exmouth,73.36,broken clouds,50.6172,-3.4023,Devoncourt Resort & Apartments
38,Scarborough,64.92,overcast clouds,54.2797,-0.4044,Ambassador Roomzzz
39,Sao Filipe,74.52,broken clouds,14.8961,-24.4956,Hotel Xaguate
41,Salalah,77.49,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
42,Dingle,77.67,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
43,Castro,71.04,clear sky,-24.7911,-50.0119,CHACARA BAILLY
44,Osorno,46.31,overcast clouds,-40.5667,-73.15,Sonesta Hotel Osorno
45,Busselton,56.08,overcast clouds,-33.65,115.3333,Observatory Guest House
46,Bolanos De Calatrava,91.08,clear sky,38.9069,-3.6635,Hotel Almagro
47,Trairi,87.01,broken clouds,-3.2778,-39.2689,janelas do mar
48,Constitucion,53.69,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
49,Bengkulu,76.69,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
50,Jalu,92.17,clear sky,29.0331,21.5482,صاحبة الفخامة
52,Los Llanos De Aridane,73.15,few clouds,28.6585,-17.9182,Valle Aridane
53,Gloucester,72.97,broken clouds,51.8657,-2.2431,Edward Hotel
54,Kirkwall,59.34,overcast clouds,58.9848,-2.9587,Kirkwall Hotel
55,Arraial Do Cabo,71.55,clear sky,-22.9661,-42.0278,Pousada Porto Praia
57,Posse,82.18,scattered clouds,-14.0931,-46.3694,Pousada das Palmeiras
58,Port Elizabeth,56.1,clear sky,-33.918,25.5701,39 On Nile Guest House
59,Cayenne,86.09,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
60,Ilhabela,72.57,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
61,Kruisfontein,53.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
62,San Rafael,53.37,clear sky,-34.6177,-68.3301,Hotel San Rafael
63,Nanortalik,43.7,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
64,Bereda,67.01,broken clouds,43.2686,-7.5406,Pazo de Verdes
65,Bambous Virieux,67.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
66,Murowana Goslina,80.76,broken clouds,52.5746,17.0093,Relax
67,Djibo,87.17,overcast clouds,14.1022,-1.6306,Centre Des Ressources DPENA
68,Raudeberg,61.86,overcast clouds,61.9875,5.1352,Nordre Silda.
69,Sambava,70.25,few clouds,-14.2667,50.1667,Melrose
71,Saint-Philippe,71.15,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
72,Kampene,78.6,clear sky,-3.6,26.6667,Paroisse catholique Kampene
73,Marsaxlokk,88.41,clear sky,35.8419,14.5431,Water's Edge
74,Chuy,64.9,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
75,Storforshei,53.65,overcast clouds,66.4043,14.5233,Skogly overnatting (Stengt/closed)
76,Borovoy,67.28,light rain,55.4333,86.0833,Tsimus
77,Ahar,73.83,scattered clouds,38.4774,47.0699,هتل رضوی
78,Pastavy,68.11,scattered clouds,55.1168,26.8326,Mini gostinitca Shirki
79,Lincoln Village,83.89,clear sky,39.9548,-83.1307,Best Western Suites
80,Takoradi,77.52,broken clouds,4.8845,-1.7554,Raybow International Hotel
81,Tasiilaq,42.96,overcast clouds,65.6145,-37.6368,The Red House
82,Coquimbo,54.5,overcast clouds,-29.9533,-71.3436,Punto de encuentro
