,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
0,Longyearbyen,78.2186,15.6401,46.24,76,75,5.75,broken clouds,2021-07-24 17:02:42
1,Mitu,1.1983,-70.1733,70.75,100,100,0.27,overcast clouds,2021-07-24 17:10:13
2,Port Alfred,-33.5906,26.891,58.39,71,0,22.12,clear sky,2021-07-24 17:02:43
3,Chingola,-12.529,27.8838,59.86,62,60,13.04,broken clouds,2021-07-24 17:02:43
4,Limbe,4.0242,9.2149,76.1,84,70,11.32,light rain,2021-07-24 17:10:14
5,Tessalit,20.1986,1.0114,100.87,23,20,20.49,few clouds,2021-07-24 17:02:44
6,Punta Arenas,-53.15,-70.9167,39.11,80,100,12.15,overcast clouds,2021-07-24 17:02:31
7,Valparaiso,-33.0393,-71.6273,53.47,79,98,14.94,overcast clouds,2021-07-24 17:02:44
8,Cape Town,-33.9258,18.4232,58.26,50,37,5.1,scattered clouds,2021-07-24 17:07:18
9,Hermanus,-34.4187,19.2345,56.89,60,64,0.4,broken clouds,2021-07-24 17:10:15
10,Vila Franca Do Campo,37.7167,-25.4333,73.81,70,21,8.21,few clouds,2021-07-24 17:10:15
11,Dikson,73.5069,80.5464,38.03,96,100,31.14,light rain,2021-07-24 17:02:45
12,Giyon,8.5333,37.9833,58.87,95,100,5.7,light rain,2021-07-24 17:10:15
13,Nogent-Le-Rotrou,48.3333,1.0,71.65,85,95,10.94,light rain,2021-07-24 17:10:16
14,Shieli,44.1667,66.75,91.63,15,0,8.48,clear sky,2021-07-24 17:10:16
15,Bathsheba,13.2167,-59.5167,83.7,75,23,17.58,few clouds,2021-07-24 17:02:47
16,Ponta Do Sol,32.6667,-17.1,82.71,70,0,5.68,clear sky,2021-07-24 17:02:47
17,Quelimane,-17.8786,36.8883,67.95,73,40,5.75,light rain,2021-07-24 17:10:17
18,Vestmannaeyjar,63.4427,-20.2734,52.79,93,75,13.8,broken clouds,2021-07-24 17:02:48
19,Qaanaaq,77.484,-69.3632,40.95,66,79,1.83,broken clouds,2021-07-24 17:02:48
20,Santa Rosa,14.3122,121.1114,80.91,95,100,14.9,light rain,2021-07-24 17:10:17
