City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2021-07-23 00:39:51,42.6001,-73.9662,71.64,64,100,5.01
1,Berlevag,NO,2021-07-23 00:47:09,70.8578,29.0864,43.47,81,99,25.72
2,Hilo,US,2021-07-23 00:40:05,19.7297,-155.09,80.33,83,90,19.57
3,Ushuaia,AR,2021-07-23 00:38:07,-54.8,-68.3,40.66,65,75,3.44
4,Bonavista,CA,2021-07-23 00:41:54,48.6499,-53.1147,52.12,94,94,11.14
5,Kaitangata,NZ,2021-07-23 00:41:31,-46.2817,169.8464,50.94,56,13,5.08
6,Rawson,AR,2021-07-23 00:47:10,-43.3002,-65.1023,54.34,42,100,10.4
7,Pevek,RU,2021-07-23 00:47:11,69.7008,170.3133,42.26,69,5,7.02
8,Chapais,CA,2021-07-23 00:47:11,49.7834,-74.8492,65.98,60,96,3.62
9,New Norfolk,AU,2021-07-23 00:47:11,-42.7826,147.0587,56.88,61,47,1.99
10,Deputatskiy,RU,2021-07-23 00:47:11,69.3,139.9,59.04,55,17,7.2
11,Rikitea,PF,2021-07-23 00:47:12,-23.1203,-134.9692,73.51,73,0,19.33
12,Kalmunai,LK,2021-07-23 00:47:12,7.4167,81.8167,79.48,69,70,8.52
13,Duku,NG,2021-07-23 00:47:13,11.2361,4.9073,72.82,94,100,6.08
14,East London,ZA,2021-07-23 00:36:46,-33.0153,27.9116,52.68,69,95,20.74
15,Mataura,NZ,2021-07-23 00:40:11,-46.1927,168.8643,49.48,75,18,3.06
16,Portland,US,2021-07-23 00:38:40,45.5234,-122.6762,83.7,37,20,3.0
17,Aksarka,RU,2021-07-23 00:42:54,66.5606,67.7975,52.29,55,100,5.28
18,Chumphon,TH,2021-07-23 00:41:15,10.3333,98.8333,81.37,86,100,8.23
19,San Quintin,MX,2021-07-23 00:44:43,30.4833,-115.95,73.24,74,1,9.71
20,Punta Arenas,CL,2021-07-23 00:43:16,-53.15,-70.9167,35.71,87,40,9.22
21,Bengkulu,ID,2021-07-23 00:40:37,-3.8004,102.2655,77.7,78,100,2.15
22,Hobart,AU,2021-07-23 00:35:14,-42.8794,147.3294,56.23,61,75,3.0
23,Parry Sound,CA,2021-07-23 00:45:00,45.3501,-80.033,70.92,60,44,5.28
24,Kainantu,PG,2021-07-23 00:40:41,-6.2887,145.8655,67.91,84,92,4.43
25,Vaini,TO,2021-07-23 00:39:52,-21.2,-175.2,80.76,83,20,5.75
26,Jamestown,US,2021-07-23 00:38:32,42.097,-79.2353,69.39,59,1,3.44
27,Kapaa,US,2021-07-23 00:39:53,22.0752,-159.319,87.78,79,75,5.99
28,Yellowknife,CA,2021-07-23 00:40:40,62.456,-114.3525,68.52,68,75,5.75
29,Port Alfred,ZA,2021-07-23 00:40:02,-33.5906,26.891,52.77,69,98,23.06
30,Qaanaaq,GL,2021-07-23 00:41:26,77.484,-69.3632,43.75,71,8,4.9
31,Manggar,ID,2021-07-23 00:42:01,-2.8833,108.2667,83.66,70,100,11.86
32,Hofn,IS,2021-07-23 00:41:12,64.2539,-15.2082,53.24,97,100,4.61
33,Port Elizabeth,ZA,2021-07-23 00:40:09,-33.918,25.5701,50.29,81,75,5.75
34,Butaritari,KI,2021-07-23 00:40:56,3.0707,172.7902,83.41,76,100,15.77
35,Fairbanks,US,2021-07-23 00:40:45,64.8378,-147.7164,80.6,40,1,6.91
36,Chuy,UY,2021-07-23 00:39:58,-33.6971,-53.4616,50.32,77,100,5.86
37,Alto Araguaia,BR,2021-07-23 00:47:16,-17.3147,-53.2153,67.33,42,0,5.68
38,Paidha,UG,2021-07-23 00:47:16,2.4167,30.9855,63.21,87,80,3.56
39,Soe,ID,2021-07-23 00:47:17,-9.8607,124.284,77.02,30,10,4.32
